"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33"
"11";3,41179579012618e-08;3,28160116178179e-08;1,69528427371749e-08;9,09930576650835e-09;5,20866950671122e-09;3,12758521365918e-09;1,86468996142873e-09;1,12818583019699e-09;6,61476423044438e-10;3,98757044348394e-10;2,3698953991485e-10;1,4007734894965e-10;9,22412134604519e-11;5,97190934864288e-11;3,29379809401314e-11;1,88031257430568e-11;8,44128277937729e-12;4,70110112543072e-12;3,20683843668801e-12;1,64094326920492e-12;1,45048181459421e-12;1,43375536102478e-12;-1,09476836992508e-12;-9,58253201079707e-13;-1,55514236272768e-12;-4,31707189644094e-14;1,21009410769907e-12;8,05211209065072e-14;-5,90799891305399e-13;-1,12860681917241e-12;-7,60887603371715e-13;-9,12055759167952e-13;-5,80501978533441e-13
"12";3,82713529811035e-08;3,12325172603795e-08;1,71704920956669e-08;9,45041751307722e-09;5,31557025231085e-09;3,30889319885111e-09;1,92001562043619e-09;1,17054359277656e-09;6,53365162629701e-10;4,06321261423733e-10;2,30353533264448e-10;1,23919989574649e-10;5,0550313687748e-11;3,86917838492425e-11;2,70169095840863e-11;2,01851286217333e-11;8,81068774539658e-12;-9,93704102363999e-13;5,98652950827002e-13;-2,70832000539266e-12;-4,32685591596506e-13;4,56648581300834e-13;6,87456798311403e-13;1,36466883286872e-12;1,67650898230784e-12;2,19698670581207e-13;5,57394055731004e-13;7,34255529267185e-13;3,433126283706e-13;-2,05308326313612e-13;-5,26408356393179e-13;-4,66867720345551e-13;-5,65285511917804e-13
"13";3,58762237453046e-08;3,06410022387222e-08;1,77573674448943e-08;9,89990786680179e-09;5,96536995606669e-09;3,51741386693305e-09;2,07587403382768e-09;1,22154986019538e-09;7,21423501112701e-10;4,30573938839723e-10;2,77118184629459e-10;1,71817445887312e-10;1,14273964529794e-10;8,28012774180125e-11;5,31364799521993e-11;3,41263797083071e-11;2,45900717685788e-11;1,28924957057788e-11;9,81567726137696e-12;8,18049618343629e-12;5,804058570616e-12;9,73607817090741e-13;7,28229648041443e-13;3,27153196318841e-12;2,88108174515922e-12;7,5856934961231e-13;3,44967802083943e-13;6,12094168363488e-13;1,1793442447578e-13;3,34107344221348e-14;1,09966725173741e-12;8,50544395061836e-13;4,93735523602293e-13
"14";3,75878231081683e-08;3,3233057525464e-08;1,79258150991915e-08;1,03987931863265e-08;6,1533581673514e-09;3,94560871704702e-09;2,22776926690943e-09;1,23522019534497e-09;7,32019866537195e-10;4,38862781085001e-10;2,58480908542553e-10;1,56571450966998e-10;1,0901459952017e-10;6,94514358465338e-11;4,86747980610542e-11;3,03613190468798e-11;1,29371801685298e-11;4,95887050398085e-12;6,68464278872252e-12;3,21874360511933e-12;2,7700994838938e-12;1,04518796671313e-12;-7,71101407538344e-14;-1,97729686653753e-12;-1,30693161545097e-12;3,95907962415168e-15;3,24179988423284e-14;7,01101661365361e-13;4,29571878823847e-13;-3,13965996545496e-13;3,2972580291327e-13;-3,28162114647838e-13;-2,87816567745127e-13
"15";3,9563137873761e-08;3,43693691708716e-08;1,83497841589644e-08;1,00341896184007e-08;5,55640657348382e-09;3,06404012026013e-09;1,76852881039861e-09;1,03706647500732e-09;6,51420600885469e-10;3,44060694853252e-10;2,16263297805014e-10;1,21226658756736e-10;8,47589919954759e-11;4,76189182631433e-11;2,74251074187415e-11;2,13676471891511e-11;1,22014556042004e-11;1,54976287770408e-11;9,42945542617569e-12;5,46743766565703e-12;2,53746999894975e-12;4,39707917894417e-12;1,90450963492767e-12;2,80634741862822e-12;3,03425349858455e-12;3,66142130532398e-12;3,70650770268501e-12;1,8050404771607e-12;1,71039107545746e-12;1,83110480194841e-12;1,67042579911439e-12;1,28881970953053e-12;5,16646522507808e-13
"16";4,12294962045185e-08;3,49277433638224e-08;1,77770571807736e-08;9,8907666227161e-09;5,50041776964702e-09;3,16195965915201e-09;1,80128887473444e-09;1,14131219310567e-09;6,70169496037046e-10;4,11046348848577e-10;2,78283946347629e-10;1,54645284825422e-10;8,72003429263466e-11;4,88622564188076e-11;3,06557052603282e-11;1,47261190292134e-11;5,90722891682919e-12;8,93920101736227e-12;3,49953688882216e-12;3,08718107490801e-12;2,29915226333361e-12;-1,36962618970187e-12;-2,55189711852523e-13;6,0736013125299e-15;-1,31512725723779e-12;-2,50003550101015e-13;1,1143301702577e-13;5,67978756134054e-14;5,16716925150577e-13;-6,78133851074343e-13;-2,72496229971635e-12;-1,81669730124208e-12;4,19061456050139e-14
"17";3,45663384977314e-08;3,07605007121767e-08;1,64243883473432e-08;9,11474971044341e-09;5,29717664540741e-09;3,12348095890038e-09;1,79367463254171e-09;1,0519099848264e-09;5,89788505608228e-10;3,13533224486766e-10;2,18816005396035e-10;1,20322595700851e-10;6,15737541447688e-11;3,2884086876626e-11;2,2277980673849e-11;1,33862193019516e-11;7,77227433813555e-12;3,65764709340745e-12;2,64787827725281e-12;1,46279668481544e-12;9,20232332980901e-13;5,75734747577015e-13;-3,60251007937714e-13;-1,23386686022343e-12;-9,08173111391144e-13;-1,16660813843923e-13;-5,5600210682391e-13;-1,00385471410677e-12;-5,41183586316707e-13;2,93437506716447e-13;2,91433519724084e-14;1,62825249184762e-13;3,23168093894199e-13
"18";3,60309865027492e-08;3,26547154105361e-08;1,63210141280468e-08;8,81307552183383e-09;5,57809204837941e-09;2,83859557101221e-09;1,73216663683041e-09;9,95770063748508e-10;6,17596867966893e-10;3,29630823775881e-10;1,67167220661202e-10;9,85342753830132e-11;6,48955290204898e-11;3,00709682430549e-11;1,18766468405826e-11;1,36463061283396e-11;5,98472075887267e-12;8,41585881515311e-12;4,86821442321268e-12;4,52475190106803e-12;2,79490693707933e-12;1,05755224666589e-13;-1,57263908986259e-13;8,19659228676604e-13;1,69821348855265e-12;1,92143557174396e-12;1,08227571875009e-12;9,06774390930628e-13;1,05905720547319e-12;1,14528331947161e-12;2,40209116261916e-13;6,70113978146487e-13;5,44967123903608e-14
"19";3,24492887097369e-08;2,73136814950672e-08;1,45011297575319e-08;7,80897996546094e-09;4,56271548240239e-09;2,5421081473067e-09;1,44782242843399e-09;9,46137294154275e-10;5,98758289505724e-10;3,71390816642802e-10;2,08007020270611e-10;1,11749990651942e-10;6,96757177240169e-11;4,04962164010888e-11;2,1521525032925e-11;7,37366483190978e-12;4,84275142912801e-12;-1,2884451192332e-12;3,77908101004457e-13;9,51497921632843e-13;1,95281816095597e-12;1,32805479637755e-12;-2,18921581571533e-13;1,52855370178811e-12;-8,07003793108966e-13;3,04295917351058e-13;-1,07679882259311e-12;-8,88554424071065e-13;-1,10061922559811e-12;-8,11458982650384e-13;-9,72736645885057e-13;-7,36456417794293e-13;-9,36207050624583e-13
"20";3,338375579518e-08;3,00184012757217e-08;1,6074751907591e-08;8,90758343309804e-09;4,89444983577092e-09;2,98096604792284e-09;1,87128048330427e-09;1,07577618703528e-09;6,61411497825331e-10;3,7465814256751e-10;2,35607850751823e-10;1,44157959871884e-10;9,53336401084296e-11;6,65096954488761e-11;4,77835003807967e-11;3,4076531624515e-11;2,79722857985012e-11;1,55112483789839e-11;1,16893450099314e-11;1,04238477751911e-11;5,69885854951275e-12;2,25710235163694e-12;1,89296127010531e-12;8,69533624122468e-13;-4,26541737152301e-13;-7,22853114626558e-13;-6,67104242864668e-13;-3,09474253413219e-13;1,05085842797348e-13;-9,49218552972787e-14;9,5153195607924e-13;1,26681307637098e-12;7,71423681015006e-13
