"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33"
"15";-4,35981406000913e-09;1,48795212925538e-08;7,57030758275094e-09;4,0546187640339e-09;2,21187788077041e-09;1,22043121128896e-09;6,6572435454146e-10;3,68521071617303e-10;2,37608661836681e-10;1,44473907461528e-10;8,49826563712284e-11;4,61135081989461e-11;2,66960906045518e-11;1,97328066975263e-11;8,63830752424754e-12;2,65579104868723e-12;4,10852555396221e-12;1,97385583021819e-12;2,4368942671292e-13;-1,25043317075142e-12;-3,07184325366159e-12;-1,09813872677301e-12;2,51023937461911e-15;7,75294262972205e-13;1,44331554892185e-12;1,11904297233211e-12;1,26475012342682e-12;4,44352589026119e-13;1,50629261627834e-13;1,77334774756691e-13;-1,10859103733989e-14;-5,33316462000461e-13;-1,65086253789657e-13
"16";-4,39730687162811e-09;1,46714636092563e-08;6,9015793896008e-09;3,63287618686966e-09;1,93583741568559e-09;1,16150795140257e-09;6,88557968377619e-10;4,64712426808006e-10;2,5956022947798e-10;1,63310971330661e-10;1,13670736756157e-10;6,08087865933699e-11;3,23436293959949e-11;1,82063855454722e-11;1,09788179763173e-11;3,50261334245887e-12;1,08884551565638e-12;4,11223629170695e-12;2,99836757447015e-12;1,07348055793386e-12;7,31136871746811e-13;-1,20377613235456e-12;-2,22244716223344e-13;3,03750710510785e-13;-2,12174631847696e-13;4,61395469208722e-13;6,05499894155963e-13;6,39714775487364e-13;3,53992363788655e-13;4,44154159316724e-13;5,29396985504458e-13;3,90795261740442e-13;1,79223665776983e-13
"17";-3,45341143821559e-09;1,26249106994823e-08;6,51231825947129e-09;3,49976288179781e-09;2,00857934600999e-09;1,1502608820134e-09;6,56188917868852e-10;4,35660699605102e-10;2,29148564784725e-10;1,17120711844857e-10;7,72466640153515e-11;3,83291857330634e-11;2,16207318364136e-11;1,06475458723784e-11;7,01692746767112e-12;6,53335596000549e-12;4,06780355724751e-12;7,57937205223472e-12;2,6479152517603e-12;7,22320060512529e-13;-6,97946871797222e-13;1,15887201236913e-14;-2,63171233263893e-13;5,0673222209943e-13;-6,56148952775202e-13;-8,07543860920574e-13;-8,04400725339292e-13;-1,94388609396103e-13;-2,21120357009123e-13;-1,97221149312281e-13;-2,28515083868659e-13;-3,1111377280891e-13;7,73178151621834e-14
"18";-6,28435529675608e-09;1,4067789180833e-08;6,61737536417224e-09;3,43109286593506e-09;2,14427807395571e-09;1,04940081486196e-09;6,45433425891705e-10;3,31391186727072e-10;2,29440056321653e-10;1,29762190047077e-10;5,73022814327838e-11;3,12489681467886e-11;1,92698419745199e-11;7,50736642498553e-12;3,47042686501371e-12;4,78422713759102e-12;4,93801772578443e-12;4,25226101677481e-12;-3,09650935725558e-13;-3,33297995781757e-12;-1,46278527093369e-12;-6,12138088193161e-13;-7,02690358161203e-13;-7,47740287147727e-14;4,48513298761006e-13;3,87804319868013e-13;1,02216401812617e-12;3,70387550978096e-13;7,51939478349835e-13;3,91631935104237e-13;2,85178032183797e-13;2,85134940760775e-13;8,71756952412162e-14
"19";-3,98553029320165e-09;1,14948588016431e-08;5,68136007935342e-09;2,94953676057091e-09;1,72935615560882e-09;9,11482169712684e-10;5,14066665276577e-10;3,44915110386862e-10;2,15065257760554e-10;1,29221277384105e-10;7,55600001520531e-11;3,87625361952923e-11;1,93746111017079e-11;1,77874240846169e-11;8,35716008569334e-12;3,68118534003052e-12;-1,34514080910253e-13;-1,19227524679706e-12;3,809741243716e-13;1,12051539005037e-13;8,49242480381081e-13;1,23940920603573e-12;7,52743468617627e-13;7,09474017313091e-13;8,39975402651427e-13;4,44674722466035e-13;3,12409918989603e-13;-6,43388407422874e-14;-4,11950020442749e-13;-1,70328965359579e-13;7,93685782258706e-14;6,75356660877215e-14;6,09086049074627e-14
"20";-3,13937089997042e-09;1,2823504259698e-08;6,45770947462858e-09;3,43624013028327e-09;1,7367608463364e-09;1,05439997667095e-09;6,27310937155803e-10;3,75985064477955e-10;2,06314437227354e-10;1,228926205285e-10;8,24559155114059e-11;5,67210537075877e-11;4,30599694969164e-11;2,58242049452722e-11;1,59001661805415e-11;1,55960597450151e-11;1,05811808436002e-11;6,82881517166843e-12;2,77186666109184e-12;2,17459820187743e-12;2,36129689335991e-12;7,98662646362946e-13;1,02087758282941e-12;1,65221518330288e-12;5,62633201256444e-13;5,02207515765886e-13;7,96302422311211e-14;1,55063121829484e-13;1,89782583748789e-13;5,29430341459163e-14;6,36037898886483e-14;1,31836869818962e-13;1,48762843485775e-13
"21";-2,79416166417864e-09;1,35817362939875e-08;6,41657416496108e-09;3,48921490502681e-09;1,89794080621128e-09;1,10000810557145e-09;6,13568712949376e-10;3,73042194086801e-10;1,9661176963374e-10;1,20380464557868e-10;7,47674435581462e-11;5,28464197758942e-11;2,42016426005311e-11;2,27383993971701e-11;1,32852633326635e-11;7,30153926826028e-12;2,98525671380378e-12;-7,98461876044473e-13;-1,27119417082115e-12;2,65055664783396e-12;2,14685606023329e-12;4,63974068606498e-14;6,08094020386398e-13;1,74009026563254e-13;-3,34935170649131e-13;-2,41556294917892e-13;2,25500296159485e-13;-1,14431064843519e-13;-7,28347635471906e-14;-4,09699510800687e-14;-8,00330904248568e-15;-6,17663945187936e-14;-1,17710507939805e-13
"22";-5,09656309653517e-09;1,47420318262832e-08;7,75913947907769e-09;3,89105015112033e-09;2,25556238022191e-09;1,38546107441183e-09;8,89649982145597e-10;4,66231376193042e-10;2,7017816063788e-10;1,75594072380955e-10;9,40459580972561e-11;4,23296703485196e-11;1,37988163487276e-11;2,2359041610834e-12;3,31812729374504e-12;6,34674905019667e-12;9,71688740153158e-13;-1,99022561952422e-12;-2,66562478026709e-12;-1,43436127493341e-12;-2,37871289296683e-12;-1,84763886527156e-12;-7,46779504757793e-15;-4,18816070543157e-13;-5,17776524085099e-13;-3,59954125212998e-13;-5,46472985003646e-13;-3,67475018204086e-13;-1,45632320697217e-13;-4,75887294533429e-13;-4,87190595682844e-13;-1,4187607083943e-13;1,20331859878803e-13
"23";-1,51216881857897e-09;1,40109447536804e-08;6,56344476009272e-09;3,45763542191429e-09;1,92377247465214e-09;1,04098132368754e-09;6,00853672394207e-10;3,67236376245857e-10;2,01034231915532e-10;1,05632557848466e-10;6,87210148514349e-11;2,86544833249812e-11;1,85776718727106e-11;1,3151037746476e-11;1,3998901416867e-11;3,06086902220014e-12;1,58094402931065e-12;3,20978309205029e-14;5,41470626870084e-13;-9,07221763080092e-13;-1,92924364584695e-13;-1,90779578549556e-12;-6,92862582901592e-13;-3,28625200817968e-13;-1,09096163421298e-13;-1,08126277230437e-12;-1,00921018570969e-12;-1,1421023959978e-12;-9,48699654560601e-13;-8,77894020291074e-13;-5,71345424605178e-13;-4,91847964605734e-13;-6,78249945781787e-13
"24";-5,7913287889503e-09;1,34572107359043e-08;6,98805116586755e-09;3,62567978266285e-09;2,02026511437243e-09;1,21770673761169e-09;7,74184126167406e-10;4,4033056288092e-10;2,80521440187634e-10;1,50605678800503e-10;9,88201615067453e-11;6,41154207789096e-11;3,77250254700846e-11;1,63936253589695e-11;1,70499402475755e-11;1,13209826761977e-11;3,4567386835277e-12;1,74532711060681e-12;-2,63338120692039e-13;6,64636364865718e-13;-1,69585763007788e-12;-7,06294893563263e-13;-1,36388690706046e-12;-1,08745489404676e-12;-9,45833353169425e-13;-8,79369235584608e-13;-6,26475430124317e-13;-6,21455650021803e-13;-5,49548660712158e-13;-1,84880219164184e-13;-2,41870462816254e-13;-2,14717574828401e-13;-1,40109882135921e-13
